x	q	q*	q - q*
-1,0000000000000000	-1,0000000000000000	-1,0000000000000000	0,00E+00
-0,9954227586576745	-0,9863310334895251	-0,9863310334895248	-3,33E-16
-0,9908455173153491	-0,9727871984183869	-0,9727871984183866	-3,33E-16
-0,9848951035703261	-0,9553663380980412	-0,9553663380980407	-4,44E-16
-0,9789446898253030	-0,9381547133673073	-0,9381547133673063	-9,99E-16
-0,9712091519567730	-0,9160903295572264	-0,9160903295572248	-1,55E-15
-0,9634736140882431	-0,8943746402089080	-0,8943746402089061	-1,89E-15
-0,9534174148591541	-0,8666609750065191	-0,8666609750065165	-2,55E-15
-0,9433612156300651	-0,8395258080792656	-0,8395258080792628	-2,78E-15
-0,9302881566322494	-0,8051049117031701	-0,8051049117031671	-3,00E-15
-0,9172150976344338	-0,7716379599946149	-0,7716379599946119	-3,00E-15
-0,9002201209372734	-0,7295350247119560	-0,7295350247119530	-3,00E-15
-0,8832251442401131	-0,6889921487513259	-0,6889921487513228	-3,11E-15
-0,8611316745338047	-0,6385702650780366	-0,6385702650780332	-3,44E-15
-0,8390382048274962	-0,5906704022150228	-0,5906704022150192	-3,55E-15
-0,8103166942092952	-0,5320645929613123	-0,5320645929613086	-3,66E-15
-0,7815951835910941	-0,4774694875386030	-0,4774694875385992	-3,77E-15
-0,7442572197874329	-0,4122580729274178	-0,4122580729274140	-3,77E-15
-0,7069192559837716	-0,3532721773802374	-0,3532721773802338	-3,61E-15
-0,6583799030390118	-0,2853840499731354	-0,2853840499731319	-3,44E-15
-0,6098405500942522	-0,2268030525925816	-0,2268030525925784	-3,16E-15
-0,5467393912660645	-0,1634335049979399	-0,1634335049979369	-3,05E-15
-0,4836382324378770	-0,1131258553181748	-0,1131258553181719	-2,86E-15
-0,4016067259612330	-0,0647743304912448	-0,0647743304912421	-2,71E-15
-0,3195752194845891	-0,0326376805699684	-0,0326376805699658	-2,52E-15
-0,2129342610649521	-0,0096546522319929	-0,0096546522319906	-2,28E-15
-0,1062933026453150	-0,0012009300272106	-0,0012009300272085	-2,05E-15
0,0323399433002132	0,0000338234389997	0,0000338234390015	-1,80E-15
0,1709731892457413	0,0049978594489362	0,0049978594489378	-1,58E-15
0,3511964089749280	0,0433161849749749	0,0433161849749762	-1,33E-15
0,5314196287041146	0,1500765283695943	0,1500765283695954	-1,11E-15
0,7657098143520573	0,4489444849747488	0,4489444849747496	-7,77E-16
1,0000000000000000	1,0000000000000000	1,0000000000000000	0,00E+00
