Row;lambda;omega;sigma;xi;time LOS, ms;k LOS;||u - u*||LOS;time BCGSTAB, ms;k BCGSTAB;||u - u*||BCGSTAB
1;1.00e+02;1.00e+02;1.00e+00;1.00e-11;407;142;1.28e-10;364;66;1.35e-10;
2;1.00e+03;1.00e+02;1.00e+00;1.00e-11;282;108;9.02e-11;345;65;2.15e-10;
3;1.00e+04;1.00e+02;1.00e+00;1.00e-11;248;94;4.22e-11;371;69;6.27e-11;
4;1.00e+05;1.00e+02;1.00e+00;1.00e-11;216;87;2.91e-11;335;63;1.97e-10;
5;8.00e+05;1.00e+02;1.00e+00;1.00e-11;209;83;5.23e-11;344;67;1.73e-10;
6;1.00e+03;1.00e-04;1.00e+00;1.00e-11;187;72;1.12e-10;252;49;7.53e-11;
7;1.00e+03;1.00e-02;1.00e+00;1.00e-11;209;81;8.72e-11;351;70;1.83e-10;
8;1.00e+03;1.00e+00;1.00e+00;1.00e-11;228;87;2.91e-11;324;63;1.97e-10;
9;1.00e+03;1.00e+02;1.00e+00;1.00e-11;273;108;9.02e-11;343;65;2.15e-10;
10;1.00e+03;1.00e+04;1.00e+00;1.00e-11;1603;669;2.33e-10;326;64;1.77e-11;
11;1.00e+03;1.00e+06;1.00e+00;1.00e-11;2361;1000;2.77e-01;1050;214;6.55e-12;
12;1.00e+03;1.00e+09;1.00e+00;1.00e-11;2331;1000;1.61e-02;47663;10000;4.70e-02;
13;1.00e+03;1.00e+02;0.00e+00;1.00e-11;194;72;1.48e-11;295;49;5.11e-11;
14;1.00e+03;1.00e+02;1.00e+02;1.00e-11;1552;669;2.33e-10;333;64;1.77e-11;
15;1.00e+03;1.00e+02;1.00e+04;1.00e-11;2289;1000;2.78e-01;994;204;1.07e-11;
16;1.00e+03;1.00e+02;1.00e+06;1.00e-11;2301;1000;2.31e-03;47972;10000;9.47e-04;
17;1.00e+03;1.00e+02;1.00e+08;1.00e-11;2269;1000;2.05e-03;46878;10000;1.48e-01;
18;1.00e+03;1.00e+02;1.00e+00;8.81e-12;262;108;9.02e-11;335;65;2.90e-11;
19;1.00e+03;1.00e+02;1.00e+00;1.00e-12;278;115;5.48e-12;356;72;2.06e-11;
20;1.00e+03;1.00e+02;1.00e+00;1.00e-11;255;108;9.02e-11;326;65;2.15e-10;
21;1.00e+03;1.00e+02;1.00e+00;1.00e-10;225;94;1.70e-09;302;62;2.32e-09;
