i	x	y	f	s1	s2	lambda	|xi - xi-1|	|yi - yi-1|	|fi - fi-1|	angle	grad1	grad2
1	1.461321762911564	-7.805251587716324	-0.1218143049397914	0.003805397219904447	0.02658174665929594	-25.10000000000001	0.9103976358359311	6.182849404312952	0.5683517417462447	161.2486728374315	-0.003455594148996886	-0.02420610372762051
2	2.242569812157947	-2.348018998562869	-0.5316122463051991	0.2440171811193775	1.686884101617581	205.3	0.7812480492463827	5.457232589153454	0.4097979413654077	128.0848363302208	-0.02854680319964334	-0.1817642238590782
3	3.718439537579508	7.049191374951475	-0.2657573210679685	-0.004474598212525586	-0.04457163866010345	51.70000000000002	1.475869725421561	9.397210373514344	0.2658549252372306	157.9211916219217	0.009466928504503844	0.07635898221739992
4	4.174401095435865	11.59104135441602	-0.09438059916829374	-0.001973750509287047	-0.01907289451566784	-101.9	0.4559615578563569	4.541849979464542	0.1713767218996747	166.1022069556398	0.001755567162837886	0.01689956211403189
5	3.152941827412697	1.758199460172222	-1.839685550419318	-1.813052610129947	-12.90109230296431	581.8400398717714	1.021459268023168	9.832841894243796	1.745304951251025	127.1453501997196	0.4678077372339851	-0.04859698795322015
6	1.883805000321733	-7.272565151902798	-0.1373277723389669	-0.003812638163826272	-0.02046167437427303	0.7000000000000001	1.269136827090963	9.03076461207502	1.702357778080351	25.07701148415151	-0.003129119705825623	-0.02893361538226042
7	1.884117912292316	-7.269671790364576	-0.1374125046139607	0.00626673296326379	0.05794458330737145	0.09999999999984877	0.0003129119705820305	0.002893361538221839	8.473227499380953e-05	159.297490023123	-0.003132034414886457	-0.02895938278301217
8	2.86613665554407	1.810444948504077	-1.979274063381361	1.289302711095093	16.4830983868785	156.7034607998212	0.9820187432517542	9.080116738868654	1.8418615587674	53.24818402072174	0.4876480698113189	-0.05273935276623368
9	2.817371848562939	1.815718883780701	-2.00341443434084	-0.9849184960537228	0.110515702048502	0.09999999999999803	0.04876480698113106	0.005273935276623343	0.02414037095947852	140.7970669708062	0.4905524633125178	-0.05704979864306073
10	1.199180733919476	1.997292818882957	-2.660228434658873	-0.04478271539245295	-0.08795680414325069	1.642969566646455	1.618191114643463	0.1815739351022561	0.6568140003180338	176.0019308077358	0.01030355127827898	0.09182564105045768
11	1.19815037879165	1.988110254777925	-2.660912820437709	-0.01252473447790888	-0.08857097258504995	0.09999999999984877	0.001030355127826343	0.009182564105031821	0.0006843857788352281	156.9731728881719	0.008768639720804494	0.05509651318730106
12	1.196171777869769	1.974118213005083	-2.661306838984734	-0.0060702992605607	-0.0001813481276398941	0.157975478471866	0.001978600921880735	0.01399204177284186	0.0003940185470256985	122.9239921274412	0.005926153640068293	-0.0008380042445326752
13	1.19557916250583	1.974202013429527	-2.661310245103913	-0.01019864275849085	0.001230880711296278	0.09999999998850168	0.00059261536393862	8.380042444366964e-05	3.406119178706035e-06	114.31736983761	0.00537296237188592	-0.0005484919491503121
14	1.18945997684976	1.974940541856422	-2.661325081486964	-0.001004984727494344	-0.001777609085664081	0.6000000000956389	0.006119185656069837	0.0007385284268954795	1.483638305144197e-05	178.4224139775988	-0.0003589673328112941	0.001942225331366509
15	1.189352286649896	1.975523209455949	-2.661323233285933	0.002102867409112663	-0.01337237495620922	-0.3000000000602061	0.000107690199864896	0.0005826675995268538	1.848201031329211e-06	140.0133627716838	-0.0004183466261939439	0.004258122385716975
16	1.189522777119986	1.974439041009271	-2.661325577055727	0.0003496882017997638	-3.179390825339004e-05	0.08107523534362107	0.0001704904700903231	0.001084168446677802	2.343769793800021e-06	64.12776103418211	-0.0003363699204182724	-5.289857004259213e-05
17	1.189421866142321	1.974423171438016	-2.661325536830913	0.00102163862777551	0.0002161674489249817	-0.3000000045764599	0.0001009109776648476	1.586957125487842e-05	4.022481370213882e-08	46.9876691734307	-0.00043310575338118	-0.0001236129558246368
18	1.189728357722642	1.974488021670999	-2.66132562326149	0.0003591092676993847	-0.0001107816378655585	0.2999999921581193	0.0003064915803210333	6.48502329823053e-05	8.64305769177065e-08	76.07339603733344	-0.0001380817338786922	0.0001575486226185058
19	1.189781605462229	1.974427267016535	-2.661325631723494	0.0001393708476055793	2.686973236761531e-05	0.3856247896902077	5.324773958692575e-05	6.075465446331307e-05	8.462003542319962e-09	48.0146665642032	-9.214031662399536e-05	-8.075886666995824e-05
