method	problem	modifier	strategy_r	start_x	start_y	eps	r0	beta	iters	inner_iters	func_evals	result_x	result_y	objective	violation_or_gap	coefficient
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	1	10	2	10	822	1.999997932877576	2.999997566565229	1.999998534833784	3.663123466779439e-07	10
penalty	task_a	max(0,g)^2	r_{k+1}=beta*r_k	1	5	1e-05	1	10	7	22	1949	1.999997038496566	2.999994137930901	1.999988398235261	2.900565664987198e-06	1000000
penalty	task_a	max(0,g)^4	r_{k+1}=beta*r_k	1	5	1e-05	1	10	16	42	3698	2.000015948516853	3.000006474188923	1.999962103454618	9.474327929748227e-06	1000000000000000
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	1	10	2	10	822	1.999997932877576	2.999997566565229	1.999998534833784	3.663123466779439e-07	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	5	10	1	8	631	2.035715241468034	3.035712666611608	2.017845224378722	2.57485642585209e-06	5
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	10	10	1	84	7187	2.213988805127	3.213988812424629	2.641076994991164	0	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	1	10	2	10	822	1.999997932877576	2.999997566565229	1.999998534833784	3.663123466779439e-07	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	1	0.5	50	71	6828	2.999999737970448	2.999999041780188	4.092193555419519e-12	1.00000069619026	8.881784197001252e-16
penalty	task_a	max(0,g)	r_{k+1}=r_k+1	1	5	1e-05	1	10	4	14	1195	1.999999912100467	2.999999891146376	1.999999916183801	2.095409135094428e-08	4
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	0	5	1e-05	1	10	2	10	808	1.999993675390076	2.999992472878183	1.999995190748527	1.202511892728353e-06	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	2	4	1e-05	1	10	2	10	839	1.99999891511969	2.999998578069873	1.999998651829266	3.370498169452674e-07	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	-1	0	1e-05	1	10	2	11	909	1.999998169878999	2.999997957749579	1.999999151540798	2.121294206958169e-07	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	0.1	1	10	2	6	224	1.987725199395481	2.983946384854357	1.9885213605436	0.003778814541123499	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-05	1	10	2	10	822	1.999997932877576	2.999997566565229	1.999998534833784	3.663123466779439e-07	10
penalty	task_a	max(0,g)	r_{k+1}=beta*r_k	1	5	1e-14	1	10	2	10002	2811965	1.99999999827553	2.999999998275528	1.999999999999993	1.77635683940025e-15	10
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-2	-2	1e-05	1	10	3	10017	921359	-2.257105707254129	2.257104232082284	48.48270046066806	1.475171845566337e-06	100
penalty	task_b	max(0,g)^2	r_{k+1}=beta*r_k	-2	-2	1e-05	1	10	7	212	17801	-1.910877823275058	1.910883931902286	45.81815916371318	6.108627227607855e-06	1000000
penalty	task_b	max(0,g)^4	r_{k+1}=beta*r_k	-2	-2	1e-05	1	10	17	491	41851	-1.911546426842013	1.911551718505674	45.81823411875315	5.291663661699531e-06	1e+16
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-4	-3	1e-05	1	10	3	10017	919776	-2.256571150994099	2.256570231938472	48.47451976523729	9.190556267135719e-07	100
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-4	-3	1e-05	5	10	2	10009	900719	-2.607492932503995	2.60749180924718	56.54900923070786	1.123256814672402e-06	50
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-4	-3	1e-05	20	10	1	3	288	-2.249998764157207	2.249998762033423	48.37498146876316	2.123784703655929e-09	20
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-4	-3	1e-05	1	10	3	10017	919776	-2.256571150994099	2.256570231938472	48.47451976523729	9.190556267135719e-07	100
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-4	-3	1e-05	1	0.5	50	104	9187	3.000001931218367	2.999998547158627	4.592259781281973e-11	5.999999802981094	8.881784197001252e-16
penalty	task_b	max(0,g)	r_{k+1}=r_k+1	-4	-3	1e-05	1	10	16	109	8944	-1.928569560610133	1.928569556409947	45.82652907241498	4.200186420888485e-09	16
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	-6	5	1e-05	10	10	2	10008	960622	-2.271410055977124	2.271409448051948	48.70623678580542	6.079251759771864e-07	100
penalty	task_b	max(0,g)	r_{k+1}=beta*r_k	0	0	1e-05	10	10	2	10007	960632	-2.271409005858317	2.271408418623835	48.7062199986884	5.872344823742992e-07	100
