outer	r	x	y	f	boundary_gap	inner_iters
1	1	1.330893386208777	2.999999987453308	5.571833692636142	0.669106601244531	10000
2	0.1	1.66539025176012	2.999999990662847	3.562366310348009	0.3346097389027265	5352
3	0.01	1.837378755315617	2.999999991094853	2.703376275769676	0.1626212357792358	3821
4	0.001	1.922578506974049	2.999999985642247	2.321674085391138	0.0774214786681986	51
5	0.0001	1.963596159664577	2.999999983579723	2.148265772451878	0.03640382391514607	242
6	1e-05	1.98299605846593	2.999999981750432	2.068593959952143	0.01700392328450206	10000
7	1e-06	1.992083787818747	2.999999959670086	2.031790018958939	0.007916171851339193	10000
8	1e-07	1.996320424732526	2.999999949220234	2.014745175751781	0.003679524487708363	10000
9	1e-08	1.998290910102665	2.999999913387735	2.006841854524841	0.001709003285069954	10000
10	1e-09	1.999206417912059	2.999999908749399	2.003175222604893	0.0007934908373397054	6181
11	1e-10	1.999631470764615	2.99999982877831	2.00147370343044	0.000368358013694392	10000
12	1e-11	1.999828598373722	2.999999586341709	2.000684010348114	0.0001709879679872017	10000
13	1e-12	1.999920127174153	2.999999495167638	2.000317484576065	7.936799348517987e-05	10000
14	1e-13	1.999962655043538	2.999999494912495	2.00014736219375	3.683986895675062e-05	10
15	1e-14	1.999982331533278	2.999999431198763	2.000068399251267	1.709966548513187e-05	2860
16	1e-15	1.999991336296464	2.999999273272343	2.0000317480369	7.936975878752861e-06	10000
17	1e-16	1.999995589127916	2.999999273163229	2.000014736175795	3.684035313700207e-06	10000
18	1e-17	1.999997394588908	2.999999104556575	2.000006839887742	1.70996766724052e-06	10000
19	1e-18	1.999998232371765	2.999999026068077	2.000003174799788	7.936963120069862e-07	10000
20	1e-19	1.999998617291147	2.999998985692274	2.000001473619182	3.684011267157672e-07	10000
21	1e-20	1.999998763847577	2.999998934842371	2.000000683995121	1.709947945460755e-07	10000
22	1e-21	1.999998818978079	2.999998898346286	2.00000031748983	7.936820667353572e-08	10000
23	1e-22	1.999998831733024	2.999998868571718	2.000000147372702	3.683869453929844e-08	10000
24	1e-23	1.999998837540727	2.999998854639765	2.000000068414521	1.709903862945339e-08	10000
25	1e-24	1.999998834183036	2.9999988421194	2.000000031764225	7.936364010419084e-09	10000
26	1e-25	1.999998829137662	2.999998832821216	2.000000014753286	3.683553462252576e-09	10000
27	1e-26	1.999998826736122	2.999998828445876	2.000000006858233	1.709754338108382e-09	10000
28	1e-27	1.999998824997134	2.9999988257907	2.000000003193568	7.93566323764594e-10	10000
29	1e-28	1.999998822876662	2.999998823244936	2.000000001492484	3.682742999444599e-10	10000
30	1e-29	1.999998821709752	2.99999882188068	2.000000000703145	1.709283825590546e-10	10000
31	1e-30	1.999998820589839	2.999998820669148	2.000000000336707	7.930878176409806e-11	10000
32	1e-31	1.999998819989022	2.999998820025828	2.000000000166719	3.680655780158304e-11	10000
33	1e-32	1.999998819783783	2.999998819800886	2.000000000087916	1.710387387277024e-11	5926
34	1e-33	1.999998819739192	2.999998819747133	2.000000000051268	7.941425295143745e-12	2693
35	1e-34	1.999998819689696	2.999998819693382	2.000000000034248	3.68594044175552e-12	4325
36	1e-35	1.99999881969166	2.999998819693367	2.000000000026331	1.706856878058716e-12	2
37	1e-36	1.999998819665712	2.999998819666507	2.000000000022687	7.955858194463872e-13	2162
38	1e-37	1.999998819666133	2.999998819666495	2.000000000020953	3.621547506327261e-13	2
39	1e-38	1.999998819666326	2.999998819666495	2.000000000020181	1.689759443479488e-13	2
40	1e-39	1.999998819666415	2.999998819666495	2.000000000019825	7.993605777301127e-14	2
41	1e-40	1.99999881966646	2.999998819666495	2.000000000019647	3.552713678800501e-14	2
42	1e-41	1.99999881966648	2.999998819666495	2.000000000019568	1.576516694967722e-14	2
43	1e-42	1.999998819666487	2.999998819666495	2.000000000019538	8.215650382226158e-15	2
