# x y z u_s u_c u(t)
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.225806451613e-02 0.000000000000e+00 0.000000000000e+00 1.269578835743e-18 6.347894178713e-19 -9.548020614124e-20
6.451612903226e-02 0.000000000000e+00 0.000000000000e+00 5.200194911201e-15 2.600097455601e-15 -3.910869243545e-16
9.677419354839e-02 0.000000000000e+00 0.000000000000e+00 6.747062460459e-13 3.373531230229e-13 -5.074209623191e-14
1.290322580645e-01 0.000000000000e+00 0.000000000000e+00 2.129999835628e-11 1.064999917814e-11 -1.601892042156e-12
1.612903225806e-01 0.000000000000e+00 0.000000000000e+00 3.099557704450e-10 1.549778852225e-10 -2.331059720245e-11
1.935483870968e-01 0.000000000000e+00 0.000000000000e+00 2.763596783804e-09 1.381798391902e-09 -2.078396261659e-10
2.258064516129e-01 0.000000000000e+00 0.000000000000e+00 1.757260528982e-08 8.786302644912e-09 -1.321568955212e-09
2.580645161290e-01 0.000000000000e+00 0.000000000000e+00 8.724479326733e-08 4.362239663366e-08 -6.561349804672e-09
2.903225806452e-01 0.000000000000e+00 0.000000000000e+00 3.585665621049e-07 1.792832810524e-07 -2.696643036358e-08
3.225806451613e-01 0.000000000000e+00 0.000000000000e+00 1.269578835743e-06 6.347894178713e-07 -9.548020614124e-08
3.548387096774e-01 0.000000000000e+00 0.000000000000e+00 3.984482244579e-06 1.992241122289e-06 -2.996577883689e-07
3.870967741935e-01 0.000000000000e+00 0.000000000000e+00 1.131969242646e-05 5.659846213230e-06 -8.513111087755e-07
4.193548387097e-01 0.000000000000e+00 0.000000000000e+00 2.957875578483e-05 1.478937789242e-05 -2.224505970191e-06
4.516129032258e-01 0.000000000000e+00 0.000000000000e+00 7.197739126712e-05 3.598869563356e-05 -5.413146440547e-06
4.838709677419e-01 0.000000000000e+00 0.000000000000e+00 1.647232046010e-04 8.236160230052e-05 -1.238820708787e-05
5.161290322581e-01 0.000000000000e+00 0.000000000000e+00 3.573546732230e-04 1.786773366115e-04 -2.687528879994e-05
5.483870967742e-01 0.000000000000e+00 0.000000000000e+00 7.396848616199e-04 3.698424308099e-04 -5.562889131317e-05
5.806451612903e-01 0.000000000000e+00 0.000000000000e+00 1.468688638381e-03 7.343443191907e-04 -1.104544987692e-04
6.129032258065e-01 0.000000000000e+00 0.000000000000e+00 2.809977778080e-03 1.404988889040e-03 -2.113277647279e-04
6.451612903226e-01 0.000000000000e+00 0.000000000000e+00 5.200194911201e-03 2.600097455601e-03 -3.910869243545e-04
6.774193548387e-01 0.000000000000e+00 0.000000000000e+00 9.338802927829e-03 4.669401463915e-03 -7.023359271266e-04
7.096774193548e-01 0.000000000000e+00 0.000000000000e+00 1.632043927379e-02 8.160219636897e-03 -1.227398301159e-03
7.419354838710e-01 0.000000000000e+00 0.000000000000e+00 2.782234337214e-02 1.391117168607e-02 -2.092412858277e-03
7.741935483871e-01 0.000000000000e+00 0.000000000000e+00 4.636546017878e-02 2.318273008939e-02 -3.486970301545e-03
8.064516129032e-01 0.000000000000e+00 0.000000000000e+00 7.567279551879e-02 3.783639775939e-02 -5.691063770130e-03
8.387096774194e-01 0.000000000000e+00 0.000000000000e+00 1.211545836947e-01 6.057729184733e-02 -9.111576453901e-03
8.709677419355e-01 0.000000000000e+00 0.000000000000e+00 1.905569723316e-01 9.527848616578e-02 -1.433106671885e-02
