# x y z us_num us_exact err_us uc_num uc_exact err_uc u_num u_exact err_u
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.225806451613e-02 0.000000000000e+00 0.000000000000e+00 1.082812410330e-06 1.082812410330e-06 0.000000000000e+00 5.414062051648e-07 5.414062051648e-07 0.000000000000e+00 1.203678246344e-06 1.203678246344e-06 0.000000000000e+00
6.451612903226e-02 0.000000000000e+00 0.000000000000e+00 1.732499856527e-05 1.732499856527e-05 0.000000000000e+00 8.662499282637e-06 8.662499282637e-06 0.000000000000e+00 1.925885194151e-05 1.925885194151e-05 0.000000000000e+00
9.677419354839e-02 0.000000000000e+00 0.000000000000e+00 8.770780523670e-05 8.770780523670e-05 0.000000000000e+00 4.385390261835e-05 4.385390261835e-05 0.000000000000e+00 9.749793795387e-05 9.749793795387e-05 0.000000000000e+00
1.290322580645e-01 0.000000000000e+00 0.000000000000e+00 2.771999770444e-04 2.771999770444e-04 0.000000000000e+00 1.385999885222e-04 1.385999885222e-04 0.000000000000e+00 3.081416310641e-04 3.081416310641e-04 0.000000000000e+00
1.612903225806e-01 0.000000000000e+00 0.000000000000e+00 6.767577564560e-04 6.767577564560e-04 0.000000000000e+00 3.383788782280e-04 3.383788782280e-04 0.000000000000e+00 7.522989039651e-04 7.522989039651e-04 0.000000000000e+00
1.935483870968e-01 0.000000000000e+00 0.000000000000e+00 1.403324883787e-03 1.403324883787e-03 0.000000000000e+00 7.016624418936e-04 7.016624418936e-04 0.000000000000e+00 1.559967007262e-03 1.559967007262e-03 0.000000000000e+00
2.258064516129e-01 0.000000000000e+00 0.000000000000e+00 2.599832597201e-03 2.599832597201e-03 0.000000000000e+00 1.299916298601e-03 1.299916298601e-03 0.000000000000e+00 2.890031469472e-03 2.890031469472e-03 0.000000000000e+00
2.580645161290e-01 0.000000000000e+00 0.000000000000e+00 4.435199632710e-03 4.435199632710e-03 0.000000000000e+00 2.217599816355e-03 2.217599816355e-03 0.000000000000e+00 4.930266097026e-03 4.930266097026e-03 0.000000000000e+00
2.903225806452e-01 0.000000000000e+00 0.000000000000e+00 7.104332224172e-03 7.104332224172e-03 0.000000000000e+00 3.552166112086e-03 3.552166112086e-03 0.000000000000e+00 7.897332974264e-03 7.897332974264e-03 0.000000000000e+00
3.225806451613e-01 0.000000000000e+00 0.000000000000e+00 1.082812410330e-02 1.082812410330e-02 0.000000000000e+00 5.414062051648e-03 5.414062051648e-03 0.000000000000e+00 1.203678246344e-02 1.203678246344e-02 0.000000000000e+00
3.548387096774e-01 0.000000000000e+00 0.000000000000e+00 1.585345649964e-02 1.585345649964e-02 0.000000000000e+00 7.926728249818e-03 7.926728249818e-03 0.000000000000e+00 1.762305320472e-02 1.762305320472e-02 0.000000000000e+00
3.870967741935e-01 0.000000000000e+00 0.000000000000e+00 2.245319814059e-02 2.245319814059e-02 0.000000000000e+00 1.122659907030e-02 1.122659907030e-02 0.000000000000e+00 2.495947211619e-02 2.495947211619e-02 0.000000000000e+00
4.193548387097e-01 0.000000000000e+00 0.000000000000e+00 3.092620525142e-02 3.092620525142e-02 0.000000000000e+00 1.546310262571e-02 1.546310262571e-02 0.000000000000e+00 3.437825439383e-02 3.437825439383e-02 0.000000000000e+00
4.516129032258e-01 0.000000000000e+00 0.000000000000e+00 4.159732155522e-02 4.159732155522e-02 0.000000000000e+00 2.079866077761e-02 2.079866077761e-02 0.000000000000e+00 4.624050351156e-02 4.624050351156e-02 0.000000000000e+00
4.838709677419e-01 0.000000000000e+00 0.000000000000e+00 5.481737827294e-02 5.481737827294e-02 0.000000000000e+00 2.740868913647e-02 2.740868913647e-02 0.000000000000e+00 6.093621122117e-02 6.093621122117e-02 0.000000000000e+00
5.161290322581e-01 0.000000000000e+00 0.000000000000e+00 7.096319412336e-02 7.096319412336e-02 0.000000000000e+00 3.548159706168e-02 3.548159706168e-02 0.000000000000e+00 7.888425755241e-02 7.888425755241e-02 0.000000000000e+00
5.483870967742e-01 0.000000000000e+00 0.000000000000e+00 9.043757532314e-02 9.043757532314e-02 0.000000000000e+00 4.521878766157e-02 4.521878766157e-02 0.000000000000e+00 1.005324108129e-01 1.005324108129e-01 0.000000000000e+00
5.806451612903e-01 0.000000000000e+00 0.000000000000e+00 1.136693155868e-01 1.136693155868e-01 0.000000000000e+00 5.683465779338e-02 5.683465779338e-02 0.000000000000e+00 1.263573275882e-01 1.263573275882e-01 0.000000000000e+00
6.129032258065e-01 0.000000000000e+00 0.000000000000e+00 1.411131961266e-01 1.411131961266e-01 0.000000000000e+00 7.055659806328e-02 7.055659806328e-02 0.000000000000e+00 1.568645527418e-01 1.568645527418e-01 0.000000000000e+00
6.451612903226e-01 0.000000000000e+00 0.000000000000e+00 1.732499856527e-01 1.732499856527e-01 0.000000000000e+00 8.662499282637e-02 8.662499282637e-02 0.000000000000e+00 1.925885194151e-01 1.925885194151e-01 0.000000000000e+00
6.774193548387e-01 0.000000000000e+00 0.000000000000e+00 2.105864403733e-01 2.105864403733e-01 0.000000000000e+00 1.052932201867e-01 1.052932201867e-01 0.000000000000e+00 2.340925490273e-01 2.340925490273e-01 0.000000000000e+00
